query_id,scale_factor,cpu_time,data_scanned,shuffle_mb
1,15,64.97999675,17974.17,0.003
1,16,83.2359964,25896.169,0.003
1,17,146.1439968,38083.075,0.003
1,18,191.9199964,61539.921,0.003
1,19,321.464997,106453.553,0.003
2,15,5,29.9245,7.99425
2,16,9,47.18375,11.51
2,17,15,71.023,16.95933333
2,18,22,134.0675,27.4445
2,19,35,251.9155,48.341
3,15,13.399986,7709.962333,13.502
3,16,20.839984,9852.064,19.456
3,17,33.98998025,16396.242,28.605
3,18,86.20498375,23423.512,46.212
3,19,153.4449808,41688.428,81.448
4,15,14.43332267,955.709,0.001
4,16,23.16666067,1482.476,0.001
4,17,110.529987,12459.7695,0.001
4,18,198.054985,20819.269,0.001
4,19,434.2466517,36691.398,0.001
5,15,13.91998175,1762.61225,62.96925
5,16,25.41498175,3573.42875,81.726
5,17,57.2249785,16470.72025,110.5605
5,18,132.6033062,32364.45433,175.4951667
5,19,190.1559736,54525.4332,290.2628
6,15,0.539997,231.25,0
6,16,0.419997,333.259,0
6,17,21,489.997,0
6,18,44,791.856,0
6,19,62,1395.797,0
7,15,8.473315333,2289.97,33.768
7,16,22.43331267,6194.08,48.66
7,17,41.4399784,9144.5698,71.53
7,18,90.804978,14726.081,115.55
7,19,177.6649723,25941.873,203.582
8,15,21,907.084,18.552
8,16,45,535.107,30.064
8,17,67,654.282,39.235
8,18,109,1599.9915,63.282
8,19,192,5339.17925,111.56
9,15,29.91997,2696.462,70.471
9,16,53.48663367,3834.555,101.538
9,17,95.66663233,5753.123,149.259
9,18,196.2319622,10846.008,241.048
9,19,447.3149613,92989.342,424.759
10,15,17.749975,2600.6655,638.166
10,16,31.769974,3854.2835,922.778
10,17,62.5799772,7697.2902,1365.62775
10,18,133.123972,17020.6936,2232.895
10,19,232.32497,30190.71,4020.453
11,15,1.747985,1345.388,96.04475
11,16,1.796652167,1776.176,124.9058
11,17,3.5679836,2436.216,168.74075
11,18,9.7519836,3716.9036,253.80575
11,19,19.853315,6479.075667,443.8372
12,15,2.1949905,251.523,0
12,16,2.849989,357.007,0
12,17,79.483989,516.2688,0
12,18,129.3879898,4920.3138,0
12,19,226.6039896,12891.307,0
13,15,79.259986,2840.471,1069.398
13,16,122.847983,4092.187,1540.651
13,17,168.609983,6017.968,2265.68
13,18,266.38398,9725.082,3661.355
13,19,480.88998,17139.22,6452.672
14,15,0.4299955,753.146,101.051
14,16,1.399988,1091.2555,145.575
14,17,6.079988,1609.7275,214.249
14,18,81.174986,2600.1904,346.168
14,19,95.871988,4619.688,609.856
15,15,2.513326333,807.0073333,347.4615
15,16,23.55332633,996.2336667,336.1295
15,17,38.724993,1476.308,546.786
15,18,59.46499225,2452.87725,876.12
15,19,105.8679924,4238.5078,1404.26925
16,15,8.679980667,1365.351,475.391
16,16,16.419974,1962.7345,682.043
16,17,25.739974,2889.939,999.583
16,18,46.6879744,4665.733,1610.364
16,19,91.6479736,8219.6444,2833.03
17,15,38.07998533,20.498,1.991
17,16,53.791983,56.2642,2.856
17,17,80.80998075,44.823,4.202
17,18,130.7849818,72.2115,17.25833333
17,19,229.1279708,285.3686,42.174
18,15,56.48664233,13791.687,0.331
18,16,101.2559694,19869.88,0.479
18,17,152.7639704,29220.593,0.704
18,18,243.7879666,47218.856,1.14
18,19,492.5199632,83216.188,1.989
19,15,6.619988,513.352,145.156
19,16,15.219988,736.75,209.18
19,17,127.6666547,1089.705,307.604
19,19,330.7866543,4303.118,875.681
21,15,39.74997,7714.8475,3.392
21,16,87.70663433,18467.643,4.891
21,17,125.839971,26247.9125,25.994
21,18,153.119974,34294.5875,26.006
21,19,323.7949805,74617.533,25.23266667
22,15,4.466638333,1277.398667,121.2275
22,16,12.01330033,1847.062,177.4095
22,17,34.93329967,2712.728333,261.697
22,18,54.8319654,4387.3836,430.30075
22,19,109.287962,7637.1054,869.8925
